,name,homepage,resource,description,projectrank,show,category,github_id,labels,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank_placing,license,trending
0,zipapp — Manage executable Python zip archives,https://docs.python.org/3/library/zipapp.html,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,
1,Why it's so hard to redistribute standalone Python apps,https://www.youtube.com/watch?v=3BfGAYfKZIg,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,
2,How to use the Python embeddable redistribution to make standalone apps,https://www.youtube.com/watch?v=xiwdz2LAtGc,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,
3,pyinstaller,https://github.com/pyinstaller/pyinstaller,,Freeze (package) Python programs into stand-alone executables.,39,False,miscellaneous,pyinstaller/pyinstaller,['written-in-c'],https://github.com/pyinstaller/pyinstaller,2011-11-23 11:05:56,2025-12-23 23:24:42,2025-12-23 23:24:42,9893.0,55.0,1915.0,222.0,2648.0,268.0,5314.0,12805.0,2025-11-24 19:44:38,6.17.0,752377.0,5118.0,77.0,85650.0,85650.0,487.0,1.0,,
4,nuitka,https://github.com/Nuitka/Nuitka,,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4-3.13. You feed it your..",32,True,miscellaneous,Nuitka/Nuitka,"['written-in-c', 'written-in-python']",https://github.com/Nuitka/Nuitka,2013-04-23 15:40:33,2025-12-25 09:51:18,2025-12-24 08:05:04,14227.0,870.0,737.0,135.0,489.0,168.0,2534.0,14265.0,,,,,,3529.0,3529.0,201.0,1.0,Apache-2.0,1.0
5,pex,https://github.com/pex-tool/pex,,"A tool for generating .pex (Python EXecutable) files, lock files and venvs.",29,True,miscellaneous,pex-tool/pex,['written-in-python'],https://github.com/pex-tool/pex,2014-07-21 17:06:12,2025-12-25 17:26:03,2025-12-25 17:26:03,1927.0,88.0,304.0,54.0,1614.0,62.0,1154.0,4159.0,2025-12-24 21:26:49,2.75.2,343566.0,42945.0,100.0,,,125.0,2.0,Apache-2.0,
6,briefcase,https://github.com/beeware/briefcase,,Tools to support converting a Python project into a standalone native application.,29,True,miscellaneous,beeware/briefcase,['written-in-python'],https://github.com/beeware/briefcase,2015-07-28 15:20:03,2025-12-24 00:58:37,2025-12-24 00:58:37,5029.0,101.0,465.0,45.0,1474.0,165.0,795.0,3164.0,2025-12-04 08:06:04,0.3.26,950.0,13.0,37.0,843.0,843.0,192.0,2.0,BSD-3-Clause,
7,PyOxidizer,https://github.com/indygreg/PyOxidizer,,A modern Python application packaging and distribution tool.,24,False,miscellaneous,indygreg/PyOxidizer,['written-in-rust'],https://github.com/indygreg/PyOxidizer,2018-12-18 23:32:13,2024-12-24 01:04:30,2024-11-03 22:09:40,6749.0,,251.0,62.0,137.0,335.0,236.0,6037.0,2022-12-30 01:38:05,pyoxidizer/0.24.0,25871.0,364.0,22.0,156.0,156.0,54.0,2.0,MPL-2.0,
8,py2exe,https://github.com/py2exe/py2exe,,Create standalone Windows programs from Python code.,23,False,miscellaneous,py2exe/py2exe,"['written-in-c', 'written-in-python']",https://github.com/py2exe/py2exe,2019-03-11 13:16:35,2025-07-21 21:47:21,2025-07-15 21:35:24,1113.0,,102.0,30.0,40.0,23.0,160.0,986.0,2025-07-15 22:01:38,0.14.0.0,23856.0,294.0,20.0,2222.0,2222.0,24.0,3.0,,
9,cx_Freeze,https://github.com/marcelotduarte/cx_Freeze,,Creates standalone executables from Python scripts with the same performance as the original script. It is cross-..,22,False,miscellaneous,marcelotduarte/cx_Freeze,['written-in-python'],https://github.com/marcelotduarte/cx_Freeze,2017-01-22 04:25:52,2025-12-24 07:34:19,2025-12-23 17:27:03,2607.0,88.0,235.0,27.0,1986.0,43.0,1013.0,1519.0,2025-12-17 07:26:55,8.5.1,,,93.0,,,124.0,3.0,,
10,pyapp,https://github.com/ofek/pyapp,,Runtime installer for Python applications.,21,False,miscellaneous,ofek/pyapp,['written-in-rust'],https://github.com/ofek/pyapp,2023-05-07 20:56:04,2025-11-01 09:02:46,2025-10-15 07:12:11,184.0,3.0,55.0,10.0,144.0,26.0,40.0,1891.0,2025-10-15 06:39:23,0.29.0,91815.0,2961.0,34.0,63.0,63.0,12.0,3.0,,
11,shiv,https://github.com/linkedin/shiv,,"shiv is a command line utility for building fully self contained Python zipapps as outlined in PEP 441, but with all..",18,False,miscellaneous,linkedin/shiv,['written-in-python'],https://github.com/linkedin/shiv,2018-03-13 18:46:23,2024-11-04 23:35:07,2024-11-04 23:35:07,218.0,,107.0,27.0,137.0,51.0,81.0,1903.0,2024-11-01 19:48:43,1.0.8,2325.0,30.0,23.0,,,43.0,3.0,BSD-2-Clause,
12,PyStand,https://github.com/skywind3000/PyStand,,Python Standalone Deploy Environment !!.,16,True,miscellaneous,skywind3000/PyStand,['written-in-cpp'],https://github.com/skywind3000/PyStand,2022-02-03 15:13:51,2025-04-09 06:30:56,2025-04-09 06:30:56,91.0,,135.0,14.0,19.0,40.0,50.0,1164.0,2025-03-31 02:30:48,1.1.5,15473.0,336.0,13.0,,,5.0,3.0,MIT,
13,PyCrucible,https://github.com/razorblade23/PyCrucible,,"A robust, cross-platform builder and launcher for Python apps using UV. Built with Rust.",14,False,miscellaneous,razorblade23/PyCrucible,['written-in-rust'],https://github.com/razorblade23/PyCrucible,2025-03-19 11:52:02,2025-12-15 19:42:50,2025-11-25 01:15:34,255.0,92.0,4.0,7.0,19.0,2.0,21.0,139.0,2025-11-17 22:48:29,0.3.9,187.0,20.0,39.0,,,3.0,3.0,,
14,packaged,https://github.com/tusharsadhwani/packaged,,The easiest way to ship python applications.,10,False,miscellaneous,tusharsadhwani/packaged,['written-in-python'],https://github.com/tusharsadhwani/packaged,2024-05-08 21:46:44,2024-11-28 21:45:16,2024-11-28 21:45:13,68.0,,8.0,4.0,13.0,4.0,7.0,205.0,2024-06-19 19:23:24,0.6.1,777.0,40.0,10.0,,,2.0,3.0,GPL-2.0,
