,name,homepage,resource,description,projectrank,show,category,github_id,labels,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank_placing,license
0,zipapp — Manage executable Python zip archives,https://docs.python.org/3/library/zipapp.html,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,
1,Why it's so hard to redistribute standalone Python apps,https://www.youtube.com/watch?v=3BfGAYfKZIg,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,
2,How to use the Python embeddable redistribution to make standalone apps,https://www.youtube.com/watch?v=xiwdz2LAtGc,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,
3,pyinstaller,https://github.com/pyinstaller/pyinstaller,,Freeze (package) Python programs into stand-alone executables.,39,False,miscellaneous,pyinstaller/pyinstaller,['written-in-c'],https://github.com/pyinstaller/pyinstaller,2011-11-23 11:05:56,2025-12-09 09:38:40,2025-12-09 09:38:39,9884.0,52.0,1911.0,222.0,2641.0,268.0,5309.0,12764.0,2025-11-24 19:44:38,6.17.0,752286.0,5117.0,77.0,85483.0,85483.0,486.0,1.0,
4,nuitka,https://github.com/Nuitka/Nuitka,,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4-3.13. You feed it your..",31,True,miscellaneous,Nuitka/Nuitka,"['written-in-c', 'written-in-python']",https://github.com/Nuitka/Nuitka,2013-04-23 15:40:33,2025-12-11 17:12:47,2025-12-06 09:47:37,14134.0,777.0,734.0,135.0,486.0,169.0,2544.0,14206.0,,,,,,3509.0,3509.0,201.0,1.0,Apache-2.0
5,pex,https://github.com/pex-tool/pex,,"A tool for generating .pex (Python EXecutable) files, lock files and venvs.",29,True,miscellaneous,pex-tool/pex,['written-in-python'],https://github.com/pex-tool/pex,2014-07-21 17:06:12,2025-12-06 02:25:58,2025-12-06 02:25:58,1919.0,87.0,306.0,53.0,1605.0,62.0,1152.0,4140.0,2025-12-06 00:04:52,2.74.1,288255.0,32028.0,100.0,,,125.0,2.0,Apache-2.0
6,briefcase,https://github.com/beeware/briefcase,,Tools to support converting a Python project into a standalone native application.,29,True,miscellaneous,beeware/briefcase,['written-in-python'],https://github.com/beeware/briefcase,2015-07-28 15:20:03,2025-12-11 06:22:17,2025-12-11 06:22:17,5015.0,95.0,462.0,45.0,1459.0,168.0,789.0,3148.0,2025-12-04 08:06:04,0.3.26,940.0,13.0,37.0,841.0,841.0,191.0,2.0,BSD-3-Clause
7,PyOxidizer,https://github.com/indygreg/PyOxidizer,,A modern Python application packaging and distribution tool.,24,False,miscellaneous,indygreg/PyOxidizer,['written-in-rust'],https://github.com/indygreg/PyOxidizer,2018-12-18 23:32:13,2024-12-24 01:04:30,2024-11-03 22:09:40,6749.0,,250.0,62.0,137.0,335.0,236.0,6028.0,2022-12-30 01:38:05,pyoxidizer/0.24.0,25720.0,362.0,22.0,156.0,156.0,54.0,2.0,MPL-2.0
8,py2exe,https://github.com/py2exe/py2exe,,Create standalone Windows programs from Python code.,23,False,miscellaneous,py2exe/py2exe,"['written-in-c', 'written-in-python']",https://github.com/py2exe/py2exe,2019-03-11 13:16:35,2025-07-21 21:47:21,2025-07-15 21:35:24,1113.0,,102.0,30.0,40.0,23.0,160.0,986.0,2025-07-15 22:01:38,0.14.0.0,23708.0,292.0,20.0,2221.0,2221.0,24.0,3.0,
9,cx_Freeze,https://github.com/marcelotduarte/cx_Freeze,,Creates standalone executables from Python scripts with the same performance as the original script. It is cross-..,22,False,miscellaneous,marcelotduarte/cx_Freeze,['written-in-python'],https://github.com/marcelotduarte/cx_Freeze,2017-01-22 04:25:52,2025-12-11 06:30:06,2025-12-08 22:03:37,2590.0,86.0,235.0,27.0,1970.0,43.0,1012.0,1509.0,2025-11-24 05:29:03,8.5.0,,,92.0,,,124.0,3.0,
10,pyapp,https://github.com/ofek/pyapp,,Runtime installer for Python applications.,21,False,miscellaneous,ofek/pyapp,['written-in-rust'],https://github.com/ofek/pyapp,2023-05-07 20:56:04,2025-11-01 09:02:46,2025-10-15 07:12:11,184.0,3.0,56.0,10.0,144.0,26.0,40.0,1886.0,2025-10-15 06:39:23,0.29.0,90513.0,2919.0,34.0,63.0,63.0,12.0,3.0,
11,shiv,https://github.com/linkedin/shiv,,"shiv is a command line utility for building fully self contained Python zipapps as outlined in PEP 441, but with all..",18,False,miscellaneous,linkedin/shiv,['written-in-python'],https://github.com/linkedin/shiv,2018-03-13 18:46:23,2024-11-04 23:35:07,2024-11-04 23:35:07,218.0,,106.0,27.0,135.0,51.0,81.0,1902.0,2024-11-01 19:48:43,1.0.8,2276.0,29.0,23.0,,,43.0,3.0,BSD-2-Clause
12,PyStand,https://github.com/skywind3000/PyStand,,Python Standalone Deploy Environment !!.,16,True,miscellaneous,skywind3000/PyStand,['written-in-cpp'],https://github.com/skywind3000/PyStand,2022-02-03 15:13:51,2025-04-09 06:30:56,2025-04-09 06:30:56,91.0,,134.0,14.0,19.0,40.0,49.0,1155.0,2025-03-31 02:30:48,1.1.5,15365.0,334.0,13.0,,,5.0,3.0,MIT
13,PyCrucible,https://github.com/razorblade23/PyCrucible,,"A robust, cross-platform builder and launcher for Python apps using UV. Built with Rust.",14,False,miscellaneous,razorblade23/PyCrucible,['written-in-rust'],https://github.com/razorblade23/PyCrucible,2025-03-19 11:52:02,2025-11-25 15:42:13,2025-11-25 01:15:34,255.0,92.0,4.0,7.0,19.0,2.0,21.0,128.0,2025-11-17 22:48:29,0.3.9,141.0,15.0,39.0,,,3.0,3.0,
14,packaged,https://github.com/tusharsadhwani/packaged,,The easiest way to ship python applications.,10,False,miscellaneous,tusharsadhwani/packaged,['written-in-python'],https://github.com/tusharsadhwani/packaged,2024-05-08 21:46:44,2024-11-28 21:45:16,2024-11-28 21:45:13,68.0,,8.0,4.0,13.0,4.0,7.0,205.0,2024-06-19 19:23:24,0.6.1,777.0,40.0,10.0,,,2.0,3.0,GPL-2.0
