,name,homepage,resource,description,projectrank,show,category,github_id,pypi_id,labels,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank_placing,dependent_project_count,github_dependent_project_count,trending
0,zipapp — Manage executable Python zip archives,https://docs.python.org/3/library/zipapp.html,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,
1,Why it's so hard to redistribute standalone Python apps,https://www.youtube.com/watch?v=3BfGAYfKZIg,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,
2,How to use the Python embeddable redistribution to make standalone apps,https://www.youtube.com/watch?v=xiwdz2LAtGc,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,
3,How do I ship a Python application to end users?,https://pydevtools.com/handbook/explanation/how-do-i-ship-a-python-application-to-end-users/,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,
4,XAR,https://github.com/facebookincubator/xar,,executable archive format.,16,True,miscellaneous,facebookincubator/xar,xar,['written-in-python'],https://github.com/facebookincubator/xar,2017-06-29 18:15:26,2023-12-28 22:35:49,2023-12-28 22:31:34,105.0,55.0,8.0,24.0,8.0,25.0,1572.0,2020-12-02 20:33:26,20.12.2,3.0,44.0,https://pypi.org/project/xar,6080.0,6080.0,1.0,,,
5,conda-pack,{},,,12,False,miscellaneous,conda/conda-pack,conda-pack,['written-in-python'],,,,,,,,,,,,,,,43.0,https://pypi.org/project/conda-pack,126969.0,126969.0,1.0,3883.0,3883.0,
6,py2app,{},,,11,False,freezers,ronaldoussoren/py2app,py2app,['written-in-python'],,,,,,,,,,,,,,,31.0,https://pypi.org/project/py2app,37712.0,37712.0,1.0,5603.0,5603.0,
7,auto-py-to-exe,{},,,11,False,freezers,brentvollebregt/auto-py-to-exe,auto-py-to-exe,['written-in-python'],,,,,,,,,,,,,,,42.0,https://pypi.org/project/auto-py-to-exe,38293.0,38293.0,1.0,6535.0,6535.0,
8,dmgbuild,{},,,11,False,miscellaneous,dmgbuild/dmgbuild,dmgbuild,['written-in-python'],,,,,,,,,,,,,,,28.0,https://pypi.org/project/dmgbuild,105209.0,105209.0,2.0,1092.0,1092.0,
9,pyinstaller,{},,,10,False,freezers,pyinstaller/pyinstaller,,['written-in-c'],,,,,,,,,,,,,,,501.0,,,,1.0,91347.0,91347.0,
10,nuitka,{},,,8,False,compilers,Nuitka/Nuitka,,"['written-in-c', 'written-in-python']",,,,,,,,,,,,,,,212.0,,,,1.0,4047.0,4047.0,
11,fbs,{},,,8,False,freezers,mherrmann/fbs,fbs,['written-in-python'],,,,,,,,,,,,,,,14.0,https://pypi.org/project/fbs,1288.0,1288.0,2.0,929.0,929.0,1.0
12,briefcase,{},,,7,False,freezers,beeware/briefcase,,['written-in-python'],,,,,,,,,,,,,,,228.0,,,,2.0,886.0,886.0,
13,staticx,{},,,7,False,freezers,JonathonReinhart/staticx,staticx,"['written-in-c', 'written-in-python']",,,,,,,,,,,,,,,6.0,https://pypi.org/project/staticx,26190.0,26190.0,2.0,172.0,172.0,4.0
14,RustPython,{},,,7,False,freezers,RustPython/RustPython,,['written-in-rust'],,,,,,,,,,,,,,,533.0,,,,2.0,896.0,896.0,
15,py2exe,{},,,6,False,freezers,py2exe/py2exe,,"['written-in-c', 'written-in-python']",,,,,,,,,,,,,,,25.0,,,,2.0,2257.0,2257.0,
16,stickytape,{},,,6,False,miscellaneous,mwilliamson/stickytape,stickytape,['written-in-python'],,,,,,,,,,,,,,,4.0,https://pypi.org/project/stickytape,3821.0,3821.0,2.0,66.0,66.0,
17,constructor,{},,,5,False,freezers,conda/constructor,constructor,['written-in-python'],,,,,,,,,,,,,,,82.0,https://pypi.org/project/constructor,194.0,194.0,2.0,28.0,28.0,
18,PyOxidizer,{},,,4,False,freezers,indygreg/PyOxidizer,,['written-in-rust'],,,,,,,,,,,,,,,54.0,,,,2.0,159.0,159.0,
19,pynsist,{},,,4,False,freezers,takluyver/pynsist,pynsist,['written-in-python'],,,,,,,,,,,,,,,32.0,https://pypi.org/project/pynsist,4597.0,4597.0,2.0,,,-4.0
20,py2wasm,{},,,4,False,compilers,wasmerio/py2wasm,py2wasm,['written-in-python'],,,,,,,,,,,,,,,170.0,https://pypi.org/project/py2wasm,182.0,182.0,2.0,,,
21,bbfreeze,{},,,4,False,freezers,schmir/bbfreeze,bbfreeze,['written-in-python'],,,,,,,,,,,,,,,15.0,https://pypi.org/project/bbfreeze,171.0,171.0,2.0,31.0,31.0,
22,py2many,{},,,4,False,compilers,py2many/py2many,py2many,['written-in-python'],,,,,,,,,,,,,,,20.0,https://pypi.org/project/py2many,465.0,465.0,2.0,36.0,36.0,
23,pyapp,{},,,3,False,launchers,ofek/pyapp,,['written-in-rust'],,,,,,,,,,,,,,,14.0,,,,1.0,63.0,63.0,
24,zipapps,{},,,3,False,zipapps,ClericPy/zipapps,zipapps,['written-in-python'],,,,,,,,,,,,,,,2.0,https://pypi.org/project/zipapps,21319.0,21319.0,1.0,,,1.0
25,python-appimage,{},,,3,False,freezers,niess/python-appimage,python-appimage,['written-in-python'],,,,,,,,,,,,,,,11.0,https://pypi.org/project/python-appimage,2570.0,2570.0,3.0,,,
26,pyship,{},,,3,False,freezers,jamesabel/pyship,pyship,['written-in-python'],,,,,,,,,,,,,,,2.0,https://pypi.org/project/pyship,151.0,151.0,3.0,13.0,13.0,
27,macOS-Pkg-Builder,{},,,3,False,miscellaneous,ripeda/macOS-Pkg-Builder,macos-pkg-builder,['written-in-python'],,,,,,,,,,,,,,,,https://pypi.org/project/macos-pkg-builder,3235.0,3235.0,2.0,,,
28,PyTauri,{},,,2,False,freezers,pytauri/pytauri,pytauri,"['written-in-rust', 'written-in-python']",,,,,,,,,,,,,,,5.0,https://pypi.org/project/pytauri,,,3.0,15.0,15.0,-3.0
29,portable-python,{},,,2,False,miscellaneous,bjia56/portable-python,,['written-in-python'],,,,,,,,,,,,,,,4.0,,,,3.0,13.0,13.0,
30,pyempaq,{},,,2,False,zipapps,facundobatista/pyempaq,pyempaq,['written-in-python'],,,,,,,,,,,,,,,5.0,https://pypi.org/project/pyempaq,25.0,25.0,2.0,6.0,6.0,
31,pyqtdeploy,{},,,2,False,freezers,Python-PyQt/pyqtdeploy,pyqtdeploy,['written-in-python'],,,,,,,,,,,,,,,,https://pypi.org/project/pyqtdeploy,294.0,294.0,3.0,,,
32,pyfuze,{},,,2,False,freezers,TanixLu/pyfuze,pyfuze,"['written-in-python', 'written-in-c']",,,,,,,,,,,,,,,,https://pypi.org/project/pyfuze,557.0,557.0,3.0,2.0,2.0,
33,make-deb,{},,,2,False,miscellaneous,nylas/make-deb,make-deb,['written-in-python'],,,,,,,,,,,,,,,4.0,https://pypi.org/project/make-deb,10.0,10.0,3.0,27.0,27.0,
34,pymakeself,{},,,2,False,miscellaneous,gammazero/pymakeself,pymakeself,['written-in-python'],,,,,,,,,,,,,,,3.0,https://pypi.org/project/pymakeself,96.0,96.0,3.0,7.0,7.0,
35,shiv,{},,,1,False,zipapps,linkedin/shiv,,['written-in-python'],,,,,,,,,,,,,,,45.0,,,,3.0,,,
36,pex,{},,,1,False,zipapps,pex-tool/pex,,['written-in-python'],,,,,,,,,,,,,,,129.0,,,,3.0,,,
37,cx_Freeze,{},,,1,False,freezers,marcelotduarte/cx_Freeze,,['written-in-python'],,,,,,,,,,,,,,,126.0,,,,3.0,,,
