,name,homepage,resource,description,projectrank,show,category,github_id,labels,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank_placing,license,pypi_id,pypi_url,pypi_monthly_downloads,new_addition
20,shiv,https://github.com/linkedin/shiv,,"shiv is a command line utility for building fully self contained Python zipapps as outlined in PEP 441, but with all..",18,True,zipapps,linkedin/shiv,['written-in-python'],https://github.com/linkedin/shiv,2018-03-13 18:46:23,2026-05-22 00:45:54,2026-05-22 00:45:54,220.0,1.0,111.0,26.0,138.0,50.0,82.0,1943.0,2024-11-01 19:48:43,1.0.8,2858.0,34.0,23.0,,,45.0,3.0,BSD-2-Clause,,,,
21,XAR,https://github.com/facebookincubator/xar,,executable archive format.,17,False,miscellaneous,facebookincubator/xar,['written-in-python'],https://github.com/facebookincubator/xar,2017-06-29 18:15:26,2023-12-28 22:35:49,2023-12-28 22:31:34,105.0,,55.0,8.0,24.0,8.0,25.0,1574.0,2020-12-02 20:33:26,20.12.2,,40096.0,3.0,,,44.0,3.0,,xar,https://pypi.org/project/xar,40096.0,True
22,PyStand,https://github.com/skywind3000/PyStand,,Python Standalone Deploy Environment !!.,16,False,freezers,skywind3000/PyStand,['written-in-cpp'],https://github.com/skywind3000/PyStand,2022-02-03 15:13:51,2025-04-09 06:30:56,2025-04-09 06:30:56,91.0,,141.0,16.0,19.0,40.0,52.0,1201.0,2025-03-31 02:30:48,1.1.5,16620.0,319.0,13.0,,,5.0,3.0,MIT,,,,
23,py2wasm,https://github.com/wasmerio/py2wasm,,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",16,False,compilers,wasmerio/py2wasm,['written-in-python'],https://github.com/wasmerio/py2wasm,2024-04-17 10:09:37,2024-06-05 08:20:06,2024-04-10 07:13:30,12230.0,,8.0,4.0,,18.0,,230.0,,,,262.0,,,,170.0,3.0,Apache-2.0,py2wasm,https://pypi.org/project/py2wasm,262.0,True
24,PyCrucible,https://github.com/razorblade23/PyCrucible,,"A robust, cross-platform builder and launcher for Python apps using UV. Built with Rust.",14,True,launchers,razorblade23/PyCrucible,['written-in-rust'],https://github.com/razorblade23/PyCrucible,2025-03-19 11:52:02,2026-06-18 21:21:40,2026-04-13 18:04:06,283.0,1.0,5.0,6.0,24.0,9.0,28.0,205.0,2026-03-22 08:09:57,0.4.6-fix1,677.0,45.0,48.0,3.0,3.0,4.0,3.0,,,,,
25,portable-python,https://github.com/bjia56/portable-python,,Portable Python binaries.,14,True,miscellaneous,bjia56/portable-python,['written-in-python'],https://github.com/bjia56/portable-python,2023-09-26 04:06:45,2026-06-22 17:32:45,2026-03-10 22:44:06,506.0,,6.0,2.0,166.0,,3.0,83.0,2025-11-19 12:17:39,cpython-v3.9.25-build.0,19015.0,864.0,100.0,11.0,11.0,4.0,3.0,Apache-2.0,,,,True
26,uvbox,https://github.com/AmadeusITGroup/uvbox,,"Fast, simple and cross-platform Python application packaging.",12,True,launchers,AmadeusITGroup/uvbox,['written-in-go'],https://github.com/AmadeusITGroup/uvbox,2025-07-11 14:19:55,2026-04-20 14:14:43,2026-04-20 14:13:11,30.0,12.0,2.0,2.0,27.0,2.0,4.0,53.0,2026-04-20 14:16:55,1.0.9,392.0,49.0,10.0,,,3.0,3.0,MIT,,,,
27,cosmofy,https://github.com/metaist/cosmofy,,Cosmopolitan Python Bundler.,11,True,freezers,metaist/cosmofy,['written-in-python'],https://github.com/metaist/cosmofy,2024-09-10 12:20:14,2026-01-13 23:40:18,2026-01-13 23:40:17,193.0,,1.0,1.0,,3.0,117.0,107.0,2025-12-24 18:54:25,0.2.1,170.0,101.0,3.0,2.0,2.0,,3.0,MIT,cosmofy,https://pypi.org/project/cosmofy,93.0,True
28,packaged,https://github.com/tusharsadhwani/packaged,,The easiest way to ship python applications.,10,False,freezers,tusharsadhwani/packaged,['written-in-python'],https://github.com/tusharsadhwani/packaged,2024-05-08 21:46:44,2024-11-28 21:45:16,2024-11-28 21:45:13,68.0,,8.0,4.0,13.0,4.0,7.0,203.0,2024-06-19 19:23:24,0.6.1,845.0,33.0,10.0,,,2.0,3.0,GPL-2.0,,,,
29,py-app-standalone,https://github.com/jlevy/py-app-standalone,,"Standalone, relocatable Python app installs with uv.",10,False,freezers,jlevy/py-app-standalone,['written-in-python'],https://github.com/jlevy/py-app-standalone,2025-04-11 03:48:12,2025-04-19 01:24:47,2025-04-19 01:22:01,27.0,,2.0,2.0,1.0,4.0,,53.0,2025-04-19 01:24:47,0.2.1,,295.0,5.0,,,,3.0,MIT,py-app-standalone,https://pypi.org/project/py-app-standalone,295.0,True
30,exxo,https://github.com/mbachry/exxo,,Build portable Python binaries.,9,False,freezers,mbachry/exxo,['written-in-python'],https://github.com/mbachry/exxo,2015-11-19 00:02:42,2023-01-26 18:13:26,2023-01-26 18:13:26,74.0,,9.0,19.0,2.0,6.0,6.0,460.0,,,,,,,,3.0,3.0,ISC,,,,True
31,py2static,https://github.com/joaompinto/py2static,,Build Linux static binaries from Python scripts.,5,False,freezers,joaompinto/py2static,['written-in-python'],https://github.com/joaompinto/py2static,2023-06-26 19:47:55,2023-06-27 20:47:14,2023-06-27 20:47:01,7.0,,,1.0,,,,3.0,,,,43.0,,,,,3.0,MIT,py2static,https://pypi.org/project/py2static,43.0,True
32,python-build-standalone,,,,0,False,miscellaneous,astral-sh/python-build-standalone,"['written-in-python', 'written-in-rust']",,,,,,,,,,,,,,,,,,,,,,,,,,True
