,name,homepage,resource,description,projectrank,show,category,github_id,pypi_id,labels,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank_placing,trending
0,zipapp — Manage executable Python zip archives,https://docs.python.org/3/library/zipapp.html,True,,0,True,others,,,,,,,,,,,
1,Why it's so hard to redistribute standalone Python apps,https://www.youtube.com/watch?v=3BfGAYfKZIg,True,,0,True,others,,,,,,,,,,,
2,How to use the Python embeddable redistribution to make standalone apps,https://www.youtube.com/watch?v=xiwdz2LAtGc,True,,0,True,others,,,,,,,,,,,
3,How do I ship a Python application to end users?,https://pydevtools.com/handbook/explanation/how-do-i-ship-a-python-application-to-end-users/,True,,0,True,others,,,,,,,,,,,
4,py2app,{},,,12,False,freezers,ronaldoussoren/py2app,py2app,['written-in-python'],5583.0,5583.0,31.0,https://pypi.org/project/py2app,70563.0,70563.0,1.0,
5,conda-pack,{},,,12,False,miscellaneous,conda/conda-pack,conda-pack,['written-in-python'],3877.0,3877.0,42.0,https://pypi.org/project/conda-pack,145685.0,145685.0,1.0,
6,auto-py-to-exe,{},,,12,False,freezers,brentvollebregt/auto-py-to-exe,auto-py-to-exe,['written-in-python'],6524.0,6524.0,41.0,https://pypi.org/project/auto-py-to-exe,72957.0,72957.0,1.0,
7,dmgbuild,{},,,11,False,miscellaneous,dmgbuild/dmgbuild,dmgbuild,['written-in-python'],1012.0,1012.0,28.0,https://pypi.org/project/dmgbuild,132958.0,132958.0,1.0,
8,pyinstaller,{},,,10,False,freezers,pyinstaller/pyinstaller,,['written-in-c'],89826.0,89826.0,494.0,,,,1.0,-29.0
9,nuitka,{},,,8,False,compilers,Nuitka/Nuitka,,"['written-in-c', 'written-in-python']",3952.0,3952.0,210.0,,,,1.0,
10,pynsist,{},,,8,False,freezers,takluyver/pynsist,pynsist,['written-in-python'],259.0,259.0,31.0,https://pypi.org/project/pynsist,6400.0,6400.0,2.0,
11,fbs,{},,,8,False,freezers,mherrmann/fbs,fbs,['written-in-python'],927.0,927.0,14.0,https://pypi.org/project/fbs,2576.0,2576.0,2.0,
12,briefcase,{},,,7,False,freezers,beeware/briefcase,,['written-in-python'],877.0,877.0,217.0,,,,2.0,
13,staticx,{},,,7,False,freezers,JonathonReinhart/staticx,staticx,"['written-in-c', 'written-in-python']",171.0,171.0,6.0,https://pypi.org/project/staticx,44328.0,44328.0,2.0,
14,stickytape,{},,,7,False,miscellaneous,mwilliamson/stickytape,stickytape,['written-in-python'],65.0,65.0,4.0,https://pypi.org/project/stickytape,15027.0,15027.0,2.0,
15,RustPython,{},,,7,False,freezers,RustPython/RustPython,,['written-in-rust'],896.0,896.0,514.0,,,,2.0,-26.0
16,py2exe,{},,,6,False,freezers,py2exe/py2exe,,"['written-in-c', 'written-in-python']",2250.0,2250.0,25.0,,,,2.0,
17,PyTauri,{},,,6,False,freezers,pytauri/pytauri,pytauri,"['written-in-rust', 'written-in-python']",15.0,15.0,5.0,https://pypi.org/project/pytauri,9283.0,9283.0,2.0,
18,constructor,{},,,5,False,freezers,conda/constructor,constructor,['written-in-python'],27.0,27.0,81.0,https://pypi.org/project/constructor,233.0,233.0,3.0,
19,PyOxidizer,{},,,4,False,freezers,indygreg/PyOxidizer,,['written-in-rust'],159.0,159.0,54.0,,,,3.0,
20,XAR,{},,,4,False,miscellaneous,facebookincubator/xar,xar,['written-in-python'],,,44.0,https://pypi.org/project/xar,3658.0,3658.0,2.0,
21,py2wasm,{},,,4,False,compilers,wasmerio/py2wasm,py2wasm,['written-in-python'],,,170.0,https://pypi.org/project/py2wasm,198.0,198.0,2.0,
22,bbfreeze,{},,,4,False,freezers,schmir/bbfreeze,bbfreeze,['written-in-python'],31.0,31.0,15.0,https://pypi.org/project/bbfreeze,368.0,368.0,3.0,
23,py2many,{},,,4,False,compilers,py2many/py2many,py2many,['written-in-python'],36.0,36.0,20.0,https://pypi.org/project/py2many,440.0,440.0,2.0,
24,pyapp,{},,,3,False,launchers,ofek/pyapp,,['written-in-rust'],63.0,63.0,14.0,,,,1.0,
25,python-appimage,{},,,3,False,freezers,niess/python-appimage,python-appimage,['written-in-python'],,,11.0,https://pypi.org/project/python-appimage,4025.0,4025.0,3.0,
26,pyship,{},,,3,False,freezers,jamesabel/pyship,pyship,['written-in-python'],13.0,13.0,2.0,https://pypi.org/project/pyship,321.0,321.0,3.0,
27,macOS-Pkg-Builder,{},,,3,False,miscellaneous,ripeda/macOS-Pkg-Builder,macos-pkg-builder,['written-in-python'],,,,https://pypi.org/project/macos-pkg-builder,5246.0,5246.0,2.0,
28,make-deb,{},,,3,False,miscellaneous,nylas/make-deb,make-deb,['written-in-python'],27.0,27.0,4.0,https://pypi.org/project/make-deb,23.0,23.0,2.0,
29,py-app-standalone,{},,,2,False,freezers,jlevy/py-app-standalone,py-app-standalone,['written-in-python'],,,,https://pypi.org/project/py-app-standalone,261.0,261.0,3.0,
30,portable-python,{},,,2,False,miscellaneous,bjia56/portable-python,,['written-in-python'],13.0,13.0,4.0,,,,3.0,
31,zipapps,{},,,2,False,zipapps,ClericPy/zipapps,zipapps,['written-in-python'],,,2.0,https://pypi.org/project/zipapps,3431.0,3431.0,1.0,
32,pyempaq,{},,,2,False,zipapps,facundobatista/pyempaq,pyempaq,['written-in-python'],6.0,6.0,5.0,https://pypi.org/project/pyempaq,70.0,70.0,1.0,
33,pyqtdeploy,{},,,2,False,freezers,Python-PyQt/pyqtdeploy,pyqtdeploy,['written-in-python'],,,,https://pypi.org/project/pyqtdeploy,389.0,389.0,3.0,
34,pyfuze,{},,,2,False,freezers,TanixLu/pyfuze,pyfuze,"['written-in-python', 'written-in-c']",2.0,2.0,,https://pypi.org/project/pyfuze,282.0,282.0,3.0,
35,pymakeself,{},,,2,False,miscellaneous,gammazero/pymakeself,pymakeself,['written-in-python'],7.0,7.0,3.0,https://pypi.org/project/pymakeself,84.0,84.0,3.0,
36,pyportable-installer,{},,,2,False,freezers,likianta/pyportable-installer,pyportable-installer,['written-in-python'],4.0,4.0,,https://pypi.org/project/pyportable-installer,78.0,78.0,3.0,
37,shiv,{},,,1,False,zipapps,linkedin/shiv,,['written-in-python'],,,45.0,,,,3.0,
38,pex,{},,,1,False,zipapps,pex-tool/pex,,['written-in-python'],,,127.0,,,,3.0,-29.0
39,cx_Freeze,{},,,1,False,freezers,marcelotduarte/cx_Freeze,,['written-in-python'],,,126.0,,,,3.0,
40,PyCrucible,{},,,1,False,launchers,razorblade23/PyCrucible,,['written-in-rust'],3.0,3.0,4.0,,,,3.0,
41,python-build-standalone,{},,,1,False,miscellaneous,astral-sh/python-build-standalone,,"['written-in-python', 'written-in-rust']",1.0,1.0,55.0,,,,3.0,1.0
42,py2static,{},,,1,False,freezers,joaompinto/py2static,py2static,['written-in-python'],,,,https://pypi.org/project/py2static,130.0,130.0,3.0,
43,cosmofy,{},,,1,False,freezers,metaist/cosmofy,cosmofy,['written-in-python'],2.0,2.0,,https://pypi.org/project/cosmofy,67.0,67.0,3.0,
44,WinPython,{},,,1,False,miscellaneous,winpython/winpython,,['written-in-python'],,,25.0,,,,3.0,-25.0
45,Codon,{},,,1,False,compilers,exaloop/codon,,['written-in-cpp'],,,21.0,,,,3.0,-25.0
46,pinliner,{},,,1,False,miscellaneous,Akrog/pinliner,pinliner,['written-in-python'],6.0,6.0,2.0,https://pypi.org/project/pinliner,40.0,40.0,3.0,
47,Shed Skin,{},,,1,False,compilers,shedskin/shedskin,,['written-in-python'],,,28.0,,,,3.0,
