,name,homepage,resource,description,projectrank,show,category,github_id,pypi_id,labels,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank_placing,trending
0,zipapp — Manage executable Python zip archives,https://docs.python.org/3/library/zipapp.html,True,,0,True,others,,,,,,,,,,,
1,Why it's so hard to redistribute standalone Python apps,https://www.youtube.com/watch?v=3BfGAYfKZIg,True,,0,True,others,,,,,,,,,,,
2,How to use the Python embeddable redistribution to make standalone apps,https://www.youtube.com/watch?v=xiwdz2LAtGc,True,,0,True,others,,,,,,,,,,,
3,How do I ship a Python application to end users?,https://pydevtools.com/handbook/explanation/how-do-i-ship-a-python-application-to-end-users/,True,,0,True,others,,,,,,,,,,,
4,auto-py-to-exe,{},,,12,False,freezers,brentvollebregt/auto-py-to-exe,auto-py-to-exe,['written-in-python'],6525.0,6525.0,41.0,https://pypi.org/project/auto-py-to-exe,70045.0,70045.0,1.0,
5,pyinstaller,{},,,10,False,freezers,pyinstaller/pyinstaller,,['written-in-c'],90201.0,90201.0,496.0,,,,1.0,
6,pynsist,{},,,9,False,freezers,takluyver/pynsist,pynsist,['written-in-python'],259.0,259.0,31.0,https://pypi.org/project/pynsist,8470.0,8470.0,2.0,1.0
7,nuitka,{},,,8,False,compilers,Nuitka/Nuitka,,"['written-in-c', 'written-in-python']",3978.0,3978.0,212.0,,,,1.0,
8,briefcase,{},,,7,False,freezers,beeware/briefcase,,['written-in-python'],877.0,877.0,222.0,,,,2.0,
9,py2app,{},,,7,False,freezers,ronaldoussoren/py2app,py2app,['written-in-python'],5586.0,5586.0,31.0,https://pypi.org/project/py2app,,,2.0,-5.0
10,conda-pack,{},,,7,False,miscellaneous,conda/conda-pack,conda-pack,['written-in-python'],3878.0,3878.0,42.0,https://pypi.org/project/conda-pack,,,1.0,-5.0
11,RustPython,{},,,7,False,freezers,RustPython/RustPython,,['written-in-rust'],896.0,896.0,519.0,,,,2.0,
12,py2exe,{},,,6,False,freezers,py2exe/py2exe,,"['written-in-c', 'written-in-python']",2251.0,2251.0,25.0,,,,2.0,
13,dmgbuild,{},,,6,False,miscellaneous,dmgbuild/dmgbuild,dmgbuild,['written-in-python'],1029.0,1029.0,28.0,https://pypi.org/project/dmgbuild,,,2.0,-5.0
14,PyTauri,{},,,5,False,freezers,pytauri/pytauri,pytauri,"['written-in-rust', 'written-in-python']",15.0,15.0,5.0,https://pypi.org/project/pytauri,7851.0,7851.0,2.0,
15,fbs,{},,,5,False,freezers,mherrmann/fbs,fbs,['written-in-python'],927.0,927.0,14.0,https://pypi.org/project/fbs,,,2.0,
16,PyOxidizer,{},,,4,False,freezers,indygreg/PyOxidizer,,['written-in-rust'],159.0,159.0,54.0,,,,3.0,
17,bbfreeze,{},,,4,False,freezers,schmir/bbfreeze,bbfreeze,['written-in-python'],31.0,31.0,15.0,https://pypi.org/project/bbfreeze,334.0,334.0,3.0,
18,py2many,{},,,4,False,compilers,py2many/py2many,py2many,['written-in-python'],36.0,36.0,20.0,https://pypi.org/project/py2many,514.0,514.0,2.0,
19,pyapp,{},,,3,False,launchers,ofek/pyapp,,['written-in-rust'],63.0,63.0,14.0,,,,1.0,
20,constructor,{},,,3,False,freezers,conda/constructor,constructor,['written-in-python'],28.0,28.0,81.0,https://pypi.org/project/constructor,,,3.0,
21,staticx,{},,,3,False,freezers,JonathonReinhart/staticx,staticx,"['written-in-c', 'written-in-python']",171.0,171.0,6.0,https://pypi.org/project/staticx,,,3.0,-4.0
22,py2wasm,{},,,3,False,compilers,wasmerio/py2wasm,py2wasm,['written-in-python'],,,170.0,https://pypi.org/project/py2wasm,148.0,148.0,3.0,
23,stickytape,{},,,3,False,miscellaneous,mwilliamson/stickytape,stickytape,['written-in-python'],65.0,65.0,4.0,https://pypi.org/project/stickytape,,,2.0,-4.0
24,portable-python,{},,,2,False,miscellaneous,bjia56/portable-python,,['written-in-python'],13.0,13.0,4.0,,,,2.0,
25,pyfuze,{},,,2,False,freezers,TanixLu/pyfuze,pyfuze,"['written-in-python', 'written-in-c']",2.0,2.0,,https://pypi.org/project/pyfuze,522.0,522.0,3.0,
26,make-deb,{},,,2,False,miscellaneous,nylas/make-deb,make-deb,['written-in-python'],27.0,27.0,4.0,https://pypi.org/project/make-deb,17.0,17.0,2.0,
27,pyportable-installer,{},,,2,False,freezers,likianta/pyportable-installer,pyportable-installer,['written-in-python'],4.0,4.0,,https://pypi.org/project/pyportable-installer,134.0,134.0,3.0,
28,shiv,{},,,1,False,zipapps,linkedin/shiv,,['written-in-python'],,,45.0,,,,1.0,
29,pex,{},,,1,False,zipapps,pex-tool/pex,,['written-in-python'],,,127.0,,,,1.0,
30,cx_Freeze,{},,,1,False,freezers,marcelotduarte/cx_Freeze,,['written-in-python'],,,126.0,,,,3.0,
31,PyCrucible,{},,,1,False,launchers,razorblade23/PyCrucible,,['written-in-rust'],3.0,3.0,4.0,,,,3.0,
32,python-build-standalone,{},,,1,False,miscellaneous,astral-sh/python-build-standalone,,"['written-in-python', 'written-in-rust']",1.0,1.0,55.0,,,,3.0,
33,cosmofy,{},,,1,False,freezers,metaist/cosmofy,cosmofy,['written-in-python'],2.0,2.0,,https://pypi.org/project/cosmofy,41.0,41.0,3.0,
34,WinPython,{},,,1,False,miscellaneous,winpython/winpython,,['written-in-python'],,,25.0,,,,3.0,
35,XAR,{},,,1,False,miscellaneous,facebookincubator/xar,xar,['written-in-python'],,,44.0,https://pypi.org/project/xar,,,3.0,
36,Codon,{},,,1,False,compilers,exaloop/codon,,['written-in-cpp'],,,21.0,,,,3.0,
37,pyempaq,{},,,1,False,zipapps,facundobatista/pyempaq,pyempaq,['written-in-python'],6.0,6.0,5.0,https://pypi.org/project/pyempaq,,,1.0,
38,Shed Skin,{},,,1,False,compilers,shedskin/shedskin,,['written-in-python'],,,28.0,,,,3.0,
39,pyship,{},,,1,False,freezers,jamesabel/pyship,pyship,['written-in-python'],13.0,13.0,2.0,https://pypi.org/project/pyship,,,3.0,
40,python-embedded-launcher,{},,,1,False,freezers,zsquareplusc/python-embedded-launcher,,"['written-in-c', 'written-in-python']",13.0,13.0,2.0,,,,3.0,
41,pymakeself,{},,,1,False,miscellaneous,gammazero/pymakeself,pymakeself,['written-in-python'],7.0,7.0,3.0,https://pypi.org/project/pymakeself,,,3.0,
42,PyStand,{},,,0,False,freezers,skywind3000/PyStand,,['written-in-cpp'],,,5.0,,,,,
43,uvbox,{},,,0,False,launchers,AmadeusITGroup/uvbox,,['written-in-go'],,,3.0,,,,,
44,exxo,{},,,0,False,freezers,mbachry/exxo,,['written-in-python'],,,3.0,,,,,
45,py2static,{},,,0,False,freezers,joaompinto/py2static,py2static,['written-in-python'],,,,https://pypi.org/project/py2static,,,,
46,py-app-standalone,{},,,0,False,freezers,jlevy/py-app-standalone,py-app-standalone,['written-in-python'],,,,https://pypi.org/project/py-app-standalone,,,,
47,pinliner,{},,,0,False,miscellaneous,Akrog/pinliner,pinliner,['written-in-python'],6.0,6.0,2.0,https://pypi.org/project/pinliner,,,,
48,pyqtdeploy,{},,,0,False,freezers,Python-PyQt/pyqtdeploy,pyqtdeploy,['written-in-python'],,,,https://pypi.org/project/pyqtdeploy,,,,
49,python-appimage,{},,,0,False,freezers,niess/python-appimage,python-appimage,['written-in-python'],,,11.0,https://pypi.org/project/python-appimage,,,,
50,relocatable-python,{},,,0,False,miscellaneous,gregneagle/relocatable-python,,['written-in-python'],,,9.0,,,,,
51,msicreator,{},,,0,False,miscellaneous,jpakkane/msicreator,,['written-in-python'],,,5.0,,,,,
