,name,homepage,resource,description,projectrank,show,category,github_id,pypi_id,labels,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank_placing,dependent_project_count,github_dependent_project_count,trending
0,zipapp — Manage executable Python zip archives,https://docs.python.org/3/library/zipapp.html,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,
1,Why it's so hard to redistribute standalone Python apps,https://www.youtube.com/watch?v=3BfGAYfKZIg,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,
2,How to use the Python embeddable redistribution to make standalone apps,https://www.youtube.com/watch?v=xiwdz2LAtGc,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,
3,How do I ship a Python application to end users?,https://pydevtools.com/handbook/explanation/how-do-i-ship-a-python-application-to-end-users/,True,,0,True,others,,,,,,,,,,,,,,,,,,,,,,,,,
4,XAR,https://github.com/facebookincubator/xar,,executable archive format.,16,True,miscellaneous,facebookincubator/xar,xar,['written-in-python'],https://github.com/facebookincubator/xar,2017-06-29 18:15:26,2023-12-28 22:35:49,2023-12-28 22:31:34,105.0,55.0,8.0,24.0,8.0,25.0,1572.0,2020-12-02 20:33:26,20.12.2,3.0,44.0,https://pypi.org/project/xar,6546.0,6546.0,1.0,,,
5,conda-pack,{},,,12,False,miscellaneous,conda/conda-pack,conda-pack,['written-in-python'],,,,,,,,,,,,,,,43.0,https://pypi.org/project/conda-pack,121936.0,121936.0,1.0,3887.0,3887.0,
6,py2app,{},,,11,False,freezers,ronaldoussoren/py2app,py2app,['written-in-python'],,,,,,,,,,,,,,,31.0,https://pypi.org/project/py2app,33077.0,33077.0,1.0,5607.0,5607.0,
7,auto-py-to-exe,{},,,11,False,freezers,brentvollebregt/auto-py-to-exe,auto-py-to-exe,['written-in-python'],,,,,,,,,,,,,,,42.0,https://pypi.org/project/auto-py-to-exe,30491.0,30491.0,1.0,6536.0,6536.0,
8,dmgbuild,{},,,11,False,miscellaneous,dmgbuild/dmgbuild,dmgbuild,['written-in-python'],,,,,,,,,,,,,,,28.0,https://pypi.org/project/dmgbuild,95918.0,95918.0,2.0,1099.0,1099.0,
9,pyinstaller,{},,,10,False,freezers,pyinstaller/pyinstaller,,['written-in-c'],,,,,,,,,,,,,,,501.0,,,,1.0,91558.0,91558.0,
10,nuitka,{},,,8,False,compilers,Nuitka/Nuitka,,"['written-in-c', 'written-in-python']",,,,,,,,,,,,,,,214.0,,,,1.0,4064.0,4064.0,
11,pynsist,{},,,8,False,freezers,takluyver/pynsist,pynsist,['written-in-python'],,,,,,,,,,,,,,,32.0,https://pypi.org/project/pynsist,3785.0,3785.0,2.0,259.0,259.0,4.0
12,fbs,{},,,8,False,freezers,mherrmann/fbs,fbs,['written-in-python'],,,,,,,,,,,,,,,14.0,https://pypi.org/project/fbs,2353.0,2353.0,2.0,929.0,929.0,
13,briefcase,{},,,7,False,freezers,beeware/briefcase,,['written-in-python'],,,,,,,,,,,,,,,229.0,,,,2.0,886.0,886.0,
14,staticx,{},,,7,False,freezers,JonathonReinhart/staticx,staticx,"['written-in-c', 'written-in-python']",,,,,,,,,,,,,,,6.0,https://pypi.org/project/staticx,23581.0,23581.0,2.0,172.0,172.0,
15,RustPython,{},,,7,False,freezers,RustPython/RustPython,,['written-in-rust'],,,,,,,,,,,,,,,533.0,,,,2.0,896.0,896.0,
16,py2exe,{},,,6,False,freezers,py2exe/py2exe,,"['written-in-c', 'written-in-python']",,,,,,,,,,,,,,,25.0,,,,2.0,2257.0,2257.0,
17,stickytape,{},,,6,False,miscellaneous,mwilliamson/stickytape,stickytape,['written-in-python'],,,,,,,,,,,,,,,4.0,https://pypi.org/project/stickytape,3758.0,3758.0,2.0,66.0,66.0,
18,PyTauri,{},,,5,False,freezers,pytauri/pytauri,pytauri,"['written-in-rust', 'written-in-python']",,,,,,,,,,,,,,,5.0,https://pypi.org/project/pytauri,4072.0,4072.0,2.0,15.0,15.0,3.0
19,PyOxidizer,{},,,4,False,freezers,indygreg/PyOxidizer,,['written-in-rust'],,,,,,,,,,,,,,,54.0,,,,3.0,159.0,159.0,
20,constructor,{},,,4,False,freezers,conda/constructor,constructor,['written-in-python'],,,,,,,,,,,,,,,82.0,https://pypi.org/project/constructor,116.0,116.0,3.0,28.0,28.0,-1.0
21,py2wasm,{},,,4,False,compilers,wasmerio/py2wasm,py2wasm,['written-in-python'],,,,,,,,,,,,,,,170.0,https://pypi.org/project/py2wasm,153.0,153.0,2.0,,,
22,py2many,{},,,4,False,compilers,py2many/py2many,py2many,['written-in-python'],,,,,,,,,,,,,,,20.0,https://pypi.org/project/py2many,436.0,436.0,2.0,36.0,36.0,
23,pyapp,{},,,3,False,launchers,ofek/pyapp,,['written-in-rust'],,,,,,,,,,,,,,,14.0,,,,1.0,63.0,63.0,
24,zipapps,{},,,3,False,zipapps,ClericPy/zipapps,zipapps,['written-in-python'],,,,,,,,,,,,,,,2.0,https://pypi.org/project/zipapps,23673.0,23673.0,1.0,,,
25,python-appimage,{},,,3,False,freezers,niess/python-appimage,python-appimage,['written-in-python'],,,,,,,,,,,,,,,11.0,https://pypi.org/project/python-appimage,2341.0,2341.0,3.0,,,
26,macOS-Pkg-Builder,{},,,3,False,miscellaneous,ripeda/macOS-Pkg-Builder,macos-pkg-builder,['written-in-python'],,,,,,,,,,,,,,,,https://pypi.org/project/macos-pkg-builder,2165.0,2165.0,2.0,,,
27,bbfreeze,{},,,3,False,freezers,schmir/bbfreeze,bbfreeze,['written-in-python'],,,,,,,,,,,,,,,15.0,https://pypi.org/project/bbfreeze,132.0,132.0,3.0,31.0,31.0,-1.0
28,portable-python,{},,,2,False,miscellaneous,bjia56/portable-python,,['written-in-python'],,,,,,,,,,,,,,,4.0,,,,3.0,13.0,13.0,
29,pyempaq,{},,,2,False,zipapps,facundobatista/pyempaq,pyempaq,['written-in-python'],,,,,,,,,,,,,,,5.0,https://pypi.org/project/pyempaq,27.0,27.0,2.0,6.0,6.0,
30,pyqtdeploy,{},,,2,False,freezers,Python-PyQt/pyqtdeploy,pyqtdeploy,['written-in-python'],,,,,,,,,,,,,,,,https://pypi.org/project/pyqtdeploy,265.0,265.0,3.0,,,
31,pyfuze,{},,,2,False,freezers,TanixLu/pyfuze,pyfuze,"['written-in-python', 'written-in-c']",,,,,,,,,,,,,,,,https://pypi.org/project/pyfuze,645.0,645.0,3.0,2.0,2.0,
32,pyship,{},,,2,False,freezers,jamesabel/pyship,pyship,['written-in-python'],,,,,,,,,,,,,,,2.0,https://pypi.org/project/pyship,143.0,143.0,3.0,13.0,13.0,-1.0
33,make-deb,{},,,2,False,miscellaneous,nylas/make-deb,make-deb,['written-in-python'],,,,,,,,,,,,,,,4.0,https://pypi.org/project/make-deb,12.0,12.0,3.0,27.0,27.0,
34,pymakeself,{},,,2,False,miscellaneous,gammazero/pymakeself,pymakeself,['written-in-python'],,,,,,,,,,,,,,,3.0,https://pypi.org/project/pymakeself,39.0,39.0,3.0,7.0,7.0,
35,pyportable-installer,{},,,2,False,freezers,likianta/pyportable-installer,pyportable-installer,['written-in-python'],,,,,,,,,,,,,,,,https://pypi.org/project/pyportable-installer,62.0,62.0,3.0,4.0,4.0,1.0
36,shiv,{},,,1,False,zipapps,linkedin/shiv,,['written-in-python'],,,,,,,,,,,,,,,45.0,,,,3.0,,,
