,name,github_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,new_addition,license
0,pyinstaller,pyinstaller/pyinstaller,['written-in-c'],miscellaneous,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,2011-11-23 11:05:56,2025-10-12 21:31:53,2025-10-12 21:31:52,9848,87,1904,229,2618,269,5296,12656,2025-09-13 20:08:08,6.16.0,751824,5184,76,Freeze (package) Python programs into stand-alone executables.,84623,84623,481,39,False,1,True,
1,briefcase,beeware/briefcase,['written-in-python'],miscellaneous,https://github.com/beeware/briefcase,https://github.com/beeware/briefcase,2015-07-28 15:20:03,2025-10-13 01:57:10,2025-10-13 01:57:08,4938,71,451,47,1385,165,771,3091,2025-08-26 00:54:26,0.3.25,834,11,35,Tools to support converting a Python project into a standalone native application.,836,836,189,29,True,3,True,BSD-3-Clause
